condition,answer
Тело движется равноускоренно с начальной скоростью 5 м/с и ускорением 2 м/с². Найдите скорость тела через 3 секунды.,11.0
"Площадь прямоугольника равна 24 м², а одна из его сторон равна 6 м. Найдите длину второй стороны.",4.0
"Какое расстояние пройдет автомобиль за 2 часа, двигаясь со скоростью 60 км/ч?",120.0
"Найдите силу, действующую на тело массой 10 кг, если ускорение тела равно 3 м/с².",30.0
"Чему равна кинетическая энергия тела массой 5 кг, движущегося со скоростью 4 м/с?",40.0
Найдите объем куба с длиной ребра 3 м.,27.0
Тело брошено вертикально вверх с начальной скоростью 20 м/с. Найдите время подъема до максимальной высоты (g = 10 м/с²).,2.0
Найдите площадь круга с радиусом 5 см. π = 3.14,0.00785
Какое давление оказывает сила 50 Н на площадь 2 м²?,25.0
Найдите длину окружности с радиусом 7 см. π = 3.14,0.44
Тело движется со скоростью 15 м/с. Какое расстояние оно пройдет за 4 секунды?,60.0
"Найдите массу тела, если его вес равен 100 Н (g = 10 м/с²).",10.0
"Чему равна потенциальная энергия тела массой 2 кг, поднятого на высоту 10 м (g = 10 м/с²)?",200.0
"Найдите ускорение тела, если за 5 секунд его скорость увеличилась с 10 м/с до 30 м/с.",4.0
Найдите площадь треугольника с основанием 8 см и высотой 5 см.,0.002
Какое количество теплоты выделится при охлаждении воды массой 2 кг от 50°C до 20°C (удельная теплоемкость воды 4200 Дж/(кг·°C))?,252000.0
Найдите объем цилиндра с радиусом основания 4 см и высотой 10 см.,0.0005024
"Чему равна сила трения, если коэффициент трения равен 0.2, а сила нормального давления 50 Н?",10.0
Найдите длину гипотенузы прямоугольного треугольника с катетами 3 см и 4 см.,0.05
Какое количество теплоты необходимо для нагревания 1 кг железа на 10°C (удельная теплоемкость железа 460 Дж/(кг·°C))?,4600.0
Найдите площадь поверхности куба с длиной ребра 2 м.,24.0
"Чему равна работа силы 20 Н, если тело переместилось на 5 м в направлении действия силы?",100.0
Найдите объем шара с радиусом 6 см. π = 3.14,0.00090432
"Какое расстояние пройдет звук за 3 секунды, если его скорость равна 340 м/с?",1020.0
Найдите площадь параллелограмма с основанием 7 см и высотой 4 см.,0.0028
"Чему равна мощность, если работа 500 Дж совершена за 10 секунд?",50.0
Найдите объем конуса с радиусом основания 3 см и высотой 4 см.,3.768e-05
"Какое давление оказывает столб воды высотой 5 м (плотность воды 1000 кг/м³, g = 10 м/с²)?",50000.0
Найдите площадь трапеции с основаниями 6 см и 4 см и высотой 5 см.,0.0025
"Чему равна сила Архимеда, действующая на тело объемом 0.1 м³, погруженное в воду (плотность воды 1000 кг/м³, g = 10 м/с²)?",1000.0
Найдите площадь поверхности сферы с радиусом 5 см.,0.0314
Какое количество теплоты выделится при сгорании 2 кг угля (удельная теплота сгорания угля 30 МДж/кг)?,60000000.0
Найдите объем пирамиды с площадью основания 15 см² и высотой 6 см.,3e-05
"Чему равна сила тока, если за 2 секунды через проводник прошел заряд 10 Кл?",5.0
Найдите площадь ромба с диагоналями 8 см и 6 см.,0.0024
"Какое напряжение на участке цепи, если сила тока 2 А, а сопротивление 5 Ом?",10.0
"Найдите объем прямоугольного параллелепипеда с длиной 3 см, шириной 4 см и высотой 5 см.",6e-05
"Чему равна работа электрического тока, если напряжение 12 В, а заряд 5 Кл?",60.0
